Timestamp,AvgYaw
0.0,-0.011536878735587563
0.1,-0.010067097173457254
0.2,-0.005098454943270107
0.3,0.004572353590690838
0.4,0.01846930302106005
0.5,0.036171089143395396
0.6,0.054820298028685883
0.7,0.06972463900472808
0.8,0.08444533685662886
0.9,0.09799702191245724
1.0,0.10622170467064466
1.1,0.10727069674066807
1.2,0.10485177124455373
1.3,0.09957211838109715
1.4,0.09000375445421492
1.5,0.07909412417154597
1.6,0.06701628966492197
1.7,0.055389480762401834
1.8,0.03957476876518782
1.9,0.030007072449667573
2.0,0.02265277001342537
2.1,0.019040186484573396
2.2,0.013856278774770721
2.3,0.007166913187343121
2.4,0.0030903199313427917
2.5,0.0013261955574633518
2.6,-0.003097877529561287
2.7,-0.007783898082684175
2.8,-0.007911107173585036
2.9,-0.006516319921764736
3.0,-0.005334083653709333
3.1,-0.004909879795010104
3.2,-0.006722395722267757
3.3,-0.008429073344491295
3.4,-0.009234174376922576
3.5,-0.00918159751443114
3.6,-0.010820673504162253
3.7,-0.014321444815602043
3.8,-0.021531887797033324
3.9,-0.02764455454427972
4.0,-0.03153312742301011
4.1,-0.03625658109224926
4.2,-0.03897940837350936
4.3,-0.03846316083642151
4.4,-0.03733328410283434
4.5,-0.03642548550862131
4.6,-0.03548065103060718
4.7,-0.035291469455145365
4.8,-0.03309282422558151
4.9,-0.028924797897027753
5.0,-0.028259697209716005
5.1,-0.02878505658852758
5.2,-0.02930411785435485
5.3,-0.028449020313974307
5.4,-0.025664286715199963
5.5,-0.02312210436562651
5.6,-0.024298193819741357
5.7,-0.022686968951088186
5.8,-0.02012022980013622
5.9,-0.01923065192034269
6.0,-0.019083558879579885
6.1,-0.019478195304615455
6.2,-0.01991936510389434
6.3,-0.021143506288622663
6.4,-0.023157430052121716
6.5,-0.024967441885556073
6.6,-0.025654561405598107
6.7,-0.02532849305657616
6.8,-0.025502161966479368
6.9,-0.02733567620358573
7.0,-0.028477886045170705
7.1,-0.028622894492953972
7.2,-0.029550137322022104
7.3,-0.030795409966197684
7.4,-0.03222997514601004
7.5,-0.0328300584785403
7.6,-0.03250925696858849
7.7,-0.0324725725388651
7.8,-0.032025265460505915
7.9,-0.03195925736000713
8.0,-0.03258585222838736
8.1,-0.032280292583182386
8.2,-0.02952851550388426
8.3,-0.027028429484980698
8.4,-0.024632477918094673
8.5,-0.023073639556284636
8.6,-0.020870152677381244
8.7,-0.01736422952518868
8.8,-0.014547422904681907
8.9,-0.012577561991866302
9.0,-0.013000554126285351
9.1,-0.016426303114955482
9.2,-0.020527945787465862
9.3,-0.024303277649252567
9.4,-0.026605655140925787
9.5,-0.030095012497127007
9.6,-0.03331098460167144
9.7,-0.0361430892707613
9.8,-0.0387637963758393
9.9,-0.041377033453840154
10.0,-0.04225113591940914
10.1,-0.04328697676745112
10.2,-0.045053515682571516
10.3,-0.044365641783232705
10.4,-0.04111101407156949
10.5,-0.03525550889640871
10.6,-0.02762791156029056
10.7,-0.020761165845824745
10.8,-0.013960413416576898
10.9,-0.008475513232687339
11.0,-0.006772948007824625
