participant_id,video_1,baseline_1,baseline_2,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,video_25,video_26,video_27,video_28,video_29,video_30,video_31,video_32,video_33,video_34,video_35,video_36,video_37,video_38,video_39,video_40
137,25.0,0.0,0.0,31.0,28.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,38.0,31.0,24.0,33.0,39.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,27.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0
138,21.0,0.0,0.0,20.0,17.0,32.0,80.0,0.0,0.0,0.0,0.0,21.0,20.0,22.0,34.0,39.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,70.0,11.0,26.0,13.0,34.0,19.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,14.0,0.0,0.0,8.0,37.0,22.0,39.0,53.0,32.0,33.0,50.0,51.0,26.0,10.0,12.0,19.0,20.0,31.0,31.0,51.0,34.0,27.0,26.0,11.0,16.0,18.0,8.0,33.0,38.0,38.0,34.0,52.0,43.0,12.0,13.0,14.0,24.0,22.0,0.0,29.0,33.0,53.0
141,39.0,0.0,0.0,26.0,0.0,38.0,66.0,0.0,43.0,0.0,7.0,0.0,48.0,31.0,56.0,8.0,4.0,65.0,72.0,23.0,44.0,66.0,37.0,0.0,9.0,7.0,0.0,31.0,13.0,30.0,38.0,8.0,59.0,10.0,5.0,27.0,0.0,36.0,26.0,8.0,75.0,19.0
142,86.0,0.0,0.0,0.0,40.0,27.0,92.0,31.0,0.0,47.0,33.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,16.0,28.0,0.0,0.0,30.0,0.0,0.0,0.0,84.0
143,95.0,0.0,0.0,96.0,92.0,98.0,57.0,0.0,0.0,61.0,14.0,0.0,92.0,100.0,90.0,90.0,79.0,0.0,0.0,9.0,0.0,0.0,100.0,88.0,93.0,93.0,93.0,15.0,0.0,0.0,0.0,0.0,95.0,86.0,87.0,80.0,91.0,10.0,0.0,0.0,0.0,6.0
144,16.0,0.0,0.0,0.0,0.0,11.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0
145,18.0,72.0,26.0,71.0,78.0,48.0,84.0,15.0,12.0,20.0,15.0,5.0,52.0,54.0,54.0,69.0,71.0,49.0,50.0,13.0,17.0,13.0,8.0,9.0,54.0,52.0,22.0,15.0,13.0,10.0,11.0,13.0,10.0,11.0,11.0,9.0,16.0,9.0,7.0,11.0,10.0,11.0
146,0.0,0.0,0.0,44.0,29.0,23.0,13.0,14.0,0.0,81.0,0.0,0.0,21.0,36.0,29.0,31.0,26.0,14.0,0.0,0.0,0.0,0.0,7.0,27.0,25.0,17.0,0.0,0.0,16.0,10.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0
147,5.0,0.0,0.0,18.0,28.0,59.0,43.0,5.0,4.0,7.0,6.0,3.0,16.0,37.0,60.0,49.0,36.0,5.0,5.0,5.0,4.0,4.0,9.0,12.0,19.0,11.0,11.0,5.0,5.0,5.0,3.0,9.0,62.0,20.0,17.0,18.0,9.0,5.0,4.0,5.0,4.0,11.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,12.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,25.0,38.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0
150,57.0,0.0,0.0,54.0,28.0,29.0,86.0,11.0,0.0,0.0,0.0,0.0,20.0,40.0,22.0,42.0,59.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,20.0,49.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,54.0,57.0,0.0,0.0,0.0,0.0,0.0
average,22.93877551020408,7.122448979591836,2.36734693877551,25.836734693877553,26.6734693877551,36.775510204081634,42.46938775510204,9.36734693877551,5.8979591836734695,10.285714285714286,10.346938775510203,10.285714285714286,29.387755102040817,25.20408163265306,29.0,31.224489795918366,33.265306122448976,9.775510204081632,7.142857142857143,8.63265306122449,6.673469387755102,8.244897959183673,29.551020408163264,17.959183673469386,23.877551020408163,24.918367346938776,24.714285714285715,8.714285714285714,7.081632653061225,5.326530612244898,6.530612244897959,6.326530612244898,36.36734693877551,22.0,21.489795918367346,27.591836734693878,25.408163265306122,11.040816326530612,8.204081632653061,7.040816326530612,7.959183673469388,7.979591836734694
