,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.28399185876999244
3,0.3,0.00574746873847031
4,0.4,1.6292317314132255e-05
5,0.5,0.00016530621080852417
6,0.6,0.0003481786802071899
7,0.7,0.0002272456561054069
8,0.8,0.010942846539608848
9,0.9,0.000987881078144862
10,1.0,0.014251740583430093
11,1.1,0.002537427848502903
12,1.2,0.002537427848502903
13,1.3,0.002537427848502903
14,1.4,0.005851448733042596
15,1.5,0.002795473466442179
16,1.6,0.0036115051730226384
17,1.7,0.002537427848502907
18,1.8,0.007904312263521469
19,1.9,1.0535682329642601e-05
20,2.0,5.536537309441983e-06
21,2.1,0.022769229108768652
22,2.2,0.025044237802001625
23,2.3,0.025044237802001625
24,2.4,0.26006264365127507
25,2.5,0.9319355295078893
26,2.6,1.0
27,2.7,1.0
28,2.8,0.6018007206248264
29,2.9,0.39912819603001715
30,3.0,0.4990677558057395
31,3.1,0.9517466085475661
32,3.2,0.7279624561148922
33,3.3,0.5207232413749099
34,3.4,0.4787324292515852
35,3.5,0.24482428555638708
36,3.6,0.14218043531630678
37,3.7,0.1424278971503427
38,3.8,0.14232152556467356
39,3.9,0.14283497942011208
40,4.0,0.1481688259747733
41,4.1,0.11881205385629802
42,4.2,0.14556349944199606
43,4.3,0.1478350831680167
44,4.4,0.3889635123826498
45,4.5,0.3161546973438771
46,4.6,0.8467954186323917
47,4.7,0.8089955899217329
48,4.8,0.45347159297213624
49,4.9,0.459244889168558
50,5.0,0.4571829701355593
51,5.1,0.4571829701355593
52,5.2,0.24012726286307995
53,5.3,0.15772328391502793
54,5.4,0.15772328391502793
55,5.5,0.15772328391502793
56,5.6,0.06492288747418852
57,5.7,0.0428778651537583
58,5.8,0.0428778651537583
59,5.9,0.0428778651537583
60,6.0,0.039700195581785426
61,6.1,0.06268443652900697
62,6.2,0.06268443652900697
63,6.3,0.035013392001421895
64,6.4,0.040477063743639644
65,6.5,0.14788054058696407
66,6.6,0.045681798222156615
67,6.7,0.042877865153758334
68,6.8,0.030394130371089095
69,6.9,3.337925043980028e-05
70,7.0,1.553257101763476e-06
71,7.1,4.014739056191869e-07
72,7.2,2.4288526845192624e-07
73,7.3,2.366712681141532e-09
74,7.4,2.338163131923353e-11
75,7.5,4.776222648329177e-15
76,7.6,1.0814407096983394e-16
77,7.7,5.894449058478086e-17
78,7.8,6.395026263011926e-15
79,7.9,4.4364289741032547e-11
80,8.0,4.4508149538447e-11
81,8.1,9.053305913810108e-11
82,8.2,1.3002708864726758e-10
83,8.3,4.4508149538447334e-11
84,8.4,4.4508149538447334e-11
85,8.5,1.1731710469372838e-10
86,8.6,2.2370200377789969e-10
87,8.7,5.682450952614722e-11
88,8.8,1.626470052780505e-11
89,8.9,6.112735761013821e-11
90,9.0,5.155656404816036e-10
91,9.1,2.9118495946665486e-09
92,9.2,3.0103299163777037e-09
93,9.3,3.0955556430804653e-09
94,9.4,1.715760912949136e-10
95,9.5,1.197224450889937e-11
96,9.6,9.192026492418365e-13
97,9.7,1.688363670127348e-13
98,9.8,3.745083604281324e-15
99,9.9,2.5841206084434935e-16
100,10.0,7.861863855763408e-18
101,10.1,1.8838963107332903e-21
102,10.2,7.508671547869589e-23
103,10.3,5.59788373239113e-24
104,10.4,1.9169957495807525e-23
105,10.5,4.616452316116975e-19
106,10.6,3.7359256694909066e-16
107,10.7,1.596326882804698e-14
108,10.8,1.0193585149710673e-14
109,10.9,1.0797261453685649e-13
110,11.0,2.0039065131381218e-13
111,11.1,7.363014408921694e-10
112,11.2,1.4694251666401803e-08
113,11.3,2.892448535096535e-07
114,11.4,3.209616519538471e-07
115,11.5,8.940317457004481e-07
116,11.6,1.0436464242069601e-06
117,11.7,2.5731575770391625e-06
118,11.8,1.5614226916592067e-05
119,11.9,0.0004965064600100293
120,12.0,0.0006722315485961101
121,12.1,3.579444978187063e-05
122,12.2,1.6280753229864067e-05
123,12.3,1.6280753229864067e-05
124,12.4,1.6280753229864067e-05
125,12.5,1.6280753229864067e-05
126,12.6,1.6280753229864067e-05
127,12.7,1.6280753229864067e-05
128,12.8,5.839705036026038e-07
129,12.9,8.534538090275043e-08
130,13.0,4.153346073912788e-07
131,13.1,2.950148038001532e-06
132,13.2,1.764341245896584e-05
133,13.3,0.00011223495915582155
134,13.4,0.0002230637813909763
135,13.5,0.00020980688793482928
136,13.6,1.764341245896584e-05
137,13.7,1.764341245896584e-05
138,13.8,8.081539830568828e-05
139,13.9,0.021040609718972248
140,14.0,0.16232123098615284
141,14.1,0.965951375707742
142,14.2,0.3806901667005096
143,14.3,0.11264672134612631
144,14.4,0.0014083364556153309
145,14.5,0.005377949124876268
146,14.6,0.003121971260845653
147,14.7,0.02186436704110887
148,14.8,0.04416064426973129
149,14.9,0.009085411948887703
150,15.0,0.010813124582147773
151,15.1,0.034334877325351607
152,15.2,0.038802647112448525
153,15.3,0.01163992749514756
154,15.4,0.0034255858592893906
155,15.5,0.0014707792171627064
156,15.6,0.00033099395980259083
157,15.7,0.0008788091924563217
158,15.8,0.005985763881011812
159,15.9,0.02809365718343819
160,16.0,0.044404302718066134
161,16.1,0.1463707742322052
162,16.2,0.6878793940013472
163,16.3,0.9540275257950102
164,16.4,0.5089796192132015
165,16.5,0.20295384719443282
166,16.6,0.17955939624378872
167,16.7,0.12144724835686951
168,16.8,0.006534191967102965
169,16.9,0.0018695504895775668
170,17.0,0.003358345245868116
171,17.1,0.0006722315485961119
172,17.2,0.0006722315485961119
173,17.3,0.0010407722056741588
174,17.4,0.0094349693659191
175,17.5,0.025044237802001625
176,17.6,0.020890010227279997
177,17.7,0.001516824351764732
178,17.8,0.002388147039713714
179,17.9,0.010942846539608848
180,18.0,0.010942846539608848
