,t,p-value
0,0.0,1.0
1,0.1,0.318301174397817
2,0.2,0.04025717303380129
3,0.3,1.0
4,0.4,1.0
5,0.5,1.0
6,0.6,0.3151105662989405
7,0.7,0.09883899107177703
8,0.8,0.0009375589847254424
9,0.9,9.703800577505267e-05
10,1.0,0.0014450527403463353
11,1.1,0.09150526028809601
12,1.2,0.19731625843097497
13,1.3,0.19731625843097497
14,1.4,0.5647660900381584
15,1.5,1.0
16,1.6,1.0
17,1.7,0.7380690993923003
18,1.8,0.025044237802001625
19,1.9,0.025048440327488274
20,2.0,1.0
21,2.1,0.12034086758454128
22,2.2,0.025044237802001625
23,2.3,0.025044237802001625
24,2.4,0.08880292942071724
25,2.5,0.9751877085796838
26,2.6,0.9594877765509477
27,2.7,0.9740203974146997
28,2.8,0.9991853036904565
29,2.9,0.977071073140249
30,3.0,0.19731625843097514
31,3.1,0.638307592180536
32,3.2,1.0
33,3.3,0.3004643793093739
34,3.4,0.19731625843097514
35,3.5,0.19731625843097514
36,3.6,0.006541779030164609
37,3.7,0.11279494667890759
38,3.8,0.003939649491196098
39,3.9,0.0014450527403463353
40,4.0,0.0006599555868893504
41,4.1,8.771586021134083e-05
42,4.2,8.771586021134083e-05
43,4.3,2.8565532574413777e-05
44,4.4,0.0016153115365291036
45,4.5,0.02479226425181973
46,4.6,0.002537427848502907
47,4.7,0.002537427848502907
48,4.8,0.002537427848502907
49,4.9,0.002537427848502907
50,5.0,0.0004731190615182794
51,5.1,0.0006499240529021968
52,5.2,0.002537427848502907
53,5.3,0.002537427848502907
54,5.4,0.07962383021365822
55,5.5,0.023553992269787764
56,5.6,0.014027454406899013
57,5.7,0.01094284653960888
58,5.8,0.00020436161158366453
59,5.9,0.0014024085568849739
60,6.0,8.625750683073465e-05
61,6.1,5.27080753001663e-06
62,6.2,5.014188445217548e-06
63,6.3,1.5329729347689145e-06
64,6.4,4.126003484388657e-05
65,6.5,1.2417690064728668e-05
66,6.6,6.169654895722627e-05
67,6.7,0.009335010040136768
68,6.8,6.960028103463633e-05
69,6.9,1.5304410976306168e-06
70,7.0,2.240413325076114e-08
71,7.1,1.6481699158748702e-06
72,7.2,0.0056830390404461716
73,7.3,0.21981597471032963
74,7.4,0.8202886674383507
75,7.5,0.2968573386209255
76,7.6,0.005702652547256461
77,7.7,0.041329494429537726
78,7.8,0.03813767664306981
79,7.9,0.000395218106434472
80,8.0,0.0003161070777401004
81,8.1,0.13341691306606496
82,8.2,0.05627165913596422
83,8.3,0.13803706707690955
84,8.4,0.4677159208260676
85,8.5,0.7791438371552686
86,8.6,0.7936367636160918
87,8.7,0.37737223352200844
88,8.8,0.43444270630273996
89,8.9,0.059474420178637695
90,9.0,0.03518462660242998
91,9.1,0.03369425840129706
92,9.2,0.031115918978407788
93,9.3,0.007873339650895496
94,9.4,0.0004909561280130218
95,9.5,0.0002926514628476152
96,9.6,0.0017191411189263971
97,9.7,0.0020866146751751277
98,9.8,5.898197202118609e-05
99,9.9,0.00014872323407632385
100,10.0,0.002614285192388814
101,10.1,0.0017847712405863656
102,10.2,0.002887932214687658
103,10.3,0.0005508749700013619
104,10.4,0.008451335082759404
105,10.5,0.40250252383735097
106,10.6,0.637757221133568
107,10.7,0.354044504082333
108,10.8,0.13023610213500708
109,10.9,0.10544312746650403
110,11.0,0.4292477654473812
111,11.1,0.8393864065219837
112,11.2,0.7726716202628712
113,11.3,0.5494564807533927
114,11.4,0.04974553731371152
115,11.5,0.10738842280968322
116,11.6,0.028931749664956638
117,11.7,0.035789131256441516
118,11.8,0.012567317040575504
119,11.9,0.1039724293293491
120,12.0,0.10296960968429111
121,12.1,0.865520786346167
122,12.2,1.0
123,12.3,0.6716836121774031
124,12.4,0.025044237802001625
125,12.5,0.025044237802001625
126,12.6,0.025044237802001625
127,12.7,0.025044237802001625
128,12.8,0.025044237802001625
129,12.9,0.025044237802001625
130,13.0,0.025044237802001625
131,13.1,0.7396254358541732
132,13.2,1.0
133,13.3,0.9081561722284781
134,13.4,0.029595416853568392
135,13.5,0.0014450527403463411
136,13.6,0.0014450527403463411
137,13.7,0.007147903601646083
138,13.8,0.025044237802001625
139,13.9,0.025044237802001625
140,14.0,0.7381099701555565
141,14.1,1.0
142,14.2,1.0
143,14.3,0.12950640259496765
144,14.4,0.01000636750540672
145,14.5,0.19718116905518646
146,14.6,0.9534138678955444
147,14.7,0.19362685184863807
148,14.8,0.2540827087633052
149,14.9,0.4156643925124853
150,15.0,0.09479149347001527
151,15.1,0.6021665871801433
152,15.2,0.2934292978667287
153,15.3,0.5072013154968491
154,15.4,0.2525309986318309
155,15.5,0.07475765278245834
156,15.6,0.3758405310908084
157,15.7,0.974488434709077
158,15.8,0.48546403486304235
159,15.9,0.7606220368214709
160,16.0,0.5777337532815228
161,16.1,0.9899353731171672
162,16.2,0.4488177502426567
163,16.3,0.9140668121469706
164,16.4,0.88280608234687
165,16.5,0.5936294223631865
166,16.6,0.42106445788836777
167,16.7,0.8038093764401926
168,16.8,0.04898050352127031
169,16.9,0.025044237802001604
170,17.0,0.025044237802001604
171,17.1,0.025044237802001604
172,17.2,0.025044237802001604
173,17.3,0.022343614564501593
174,17.4,0.0017134840180528309
175,17.5,0.0029553965595800467
176,17.6,0.025044237802001604
177,17.7,0.011064375224423795
178,17.8,0.0016641309549917246
179,17.9,0.006328573002209948
180,18.0,0.06121397517798676
