,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.28399185876999244
3,0.3,0.00574746873847031
4,0.4,5.2308682073414026e-05
5,0.5,4.76653882099701e-05
6,0.6,1.7759465640070647e-05
7,0.7,2.9991131073198107e-05
8,0.8,0.00022530093716395774
9,0.9,0.00212031853698001
10,1.0,0.0004638944112506414
11,1.1,0.0005447648318845905
12,1.2,0.007854344399409874
13,1.3,0.1779566849856596
14,1.4,0.05021538843082294
15,1.5,0.027638539282092773
16,1.6,0.1399682919160292
17,1.7,0.4456767931385812
18,1.8,0.5359967183346859
19,1.9,1.0
20,2.0,0.9630589705042649
21,2.1,0.045579243155473625
22,2.2,0.025044237802001625
23,2.3,0.025044237802001625
24,2.4,0.025044237802001625
25,2.5,0.025044237802001625
26,2.6,0.0194315244779424
27,2.7,0.004271139086266966
28,2.8,0.0027256729292419574
29,2.9,0.0028101297172747003
30,3.0,0.00045336971053040504
31,3.1,5.809644398713994e-06
32,3.2,5.420911572171179e-06
33,3.3,5.422985575353197e-06
34,3.4,5.423742545744635e-06
35,3.5,5.433075063310059e-06
36,3.6,5.445629393191692e-06
37,3.7,5.442261175382806e-06
38,3.8,5.4382649866060156e-06
39,3.9,5.46484156752401e-06
40,4.0,8.930751224624655e-07
41,4.1,2.3389526815695345e-06
42,4.2,5.6472249477943685e-06
43,4.3,5.2552676577821335e-06
44,4.4,2.685960785840458e-07
45,4.5,5.582340341581464e-07
46,4.6,3.630027810844456e-06
47,4.7,2.68476894848998e-06
48,4.8,0.0010428471404481882
49,4.9,0.03873584300551832
50,5.0,0.04008197858047505
51,5.1,0.040104930171627466
52,5.2,0.15714522792502725
53,5.3,0.28659477513408727
54,5.4,0.285963818474742
55,5.5,0.28526988220919924
56,5.6,0.6412349319363714
57,5.7,0.582688997753483
58,5.8,0.3950213423553295
59,5.9,0.20316741763045143
60,6.0,0.03452886338036438
61,6.1,0.04499686619571284
62,6.2,0.0448906281129419
63,6.3,0.085895733343514
64,6.4,0.19568883727119193
65,6.5,0.07970527131031642
66,6.6,0.4009228693806919
67,6.7,0.5858915633996846
68,6.8,0.6796158514214294
69,6.9,0.6819064631174948
70,7.0,0.21333370515626382
71,7.1,0.0650083053638927
72,7.2,0.008469901455340724
73,7.3,0.001797559455359747
74,7.4,0.0025599964072321874
75,7.5,0.001138778392947621
76,7.6,0.00011521297903296197
77,7.7,8.259334240224444e-05
78,7.8,2.8408604660432255e-05
79,7.9,7.928483468233983e-05
80,8.0,1.8233309669163887e-05
81,8.1,1.6221154695138677e-05
82,8.2,1.574115408012344e-06
83,8.3,8.338382089779128e-07
84,8.4,7.068773852467565e-07
85,8.5,3.1527779283592704e-06
86,8.6,4.9122770087129395e-05
87,8.7,0.00010884902492945303
88,8.8,0.0004195259158224506
89,8.9,0.0009535457639035008
90,9.0,0.003434996680859397
91,9.1,0.00372440240750062
92,9.2,0.001256485722141537
93,9.3,0.0002281773659176951
94,9.4,0.00013866878875412155
95,9.5,0.002264633654819437
96,9.6,0.002676605586364107
97,9.7,0.0036706092830694694
98,9.8,0.0007016483362633218
99,9.9,0.0003521612342418028
100,10.0,0.002542006733283353
101,10.1,0.00025160409813202117
102,10.2,4.162210210243174e-06
103,10.3,8.373294115801076e-09
104,10.4,6.790223866244673e-08
105,10.5,6.335141891069956e-05
106,10.6,0.0068367067744523335
107,10.7,0.03346908635036236
108,10.8,0.0020568494840083732
109,10.9,0.000331158853539535
110,11.0,0.00022966820080776444
111,11.1,0.0006284917803154808
112,11.2,0.005922201992733362
113,11.3,0.005561339212458295
114,11.4,0.0003809490230297821
115,11.5,0.01535920571366884
116,11.6,0.0009419104348978853
117,11.7,0.00023432732607335088
118,11.8,0.000995171691689915
119,11.9,0.003001274749915887
120,12.0,0.0014450527403463411
121,12.1,0.0014450527403463411
122,12.2,0.0014450527403463411
123,12.3,0.00016477676919790746
124,12.4,0.00016343519873525847
125,12.5,0.00016343519873525847
126,12.6,0.00016343519873525847
127,12.7,0.00016343519873525847
128,12.8,0.00016343519873525847
129,12.9,0.00016343519873525847
130,13.0,0.0005938294299258454
131,13.1,0.002914422308930858
132,13.2,0.010942846539608848
133,13.3,0.0438580933597461
134,13.4,0.06779223678779825
135,13.5,0.06552377260445816
136,13.6,0.010942846539608848
137,13.7,0.010942846539608848
138,13.8,0.21408425384289498
139,13.9,0.0469615413787054
140,14.0,0.0002325158796838514
141,14.1,2.0825513909799839e-07
142,14.2,2.3007815136479286e-08
143,14.3,5.646144183700133e-09
144,14.4,3.7988563920933764e-10
145,14.5,3.9664452525255255e-07
146,14.6,4.29594457184676e-06
147,14.7,2.535313632004039e-05
148,14.8,1.5718069964409355e-05
149,14.9,1.0109027721333713e-05
150,15.0,4.641367083966157e-05
151,15.1,0.002606760354514434
152,15.2,0.059982621265348125
153,15.3,0.06356885589665917
154,15.4,0.1099720306565365
155,15.5,0.7990588746370293
156,15.6,0.6635654580452406
157,15.7,0.578561868938009
158,15.8,0.44224735342381094
159,15.9,0.9004847307172803
160,16.0,0.5339620241728913
161,16.1,0.22632265004371752
162,16.2,0.183820232475107
163,16.3,0.1529449102694743
164,16.4,0.0594819730095117
165,16.5,0.05222155533470043
166,16.6,0.0075982861756235835
167,16.7,0.0059447811858020835
168,16.8,0.001103415621382516
169,16.9,0.00010253244968123147
170,17.0,0.0006722315485961119
171,17.1,0.0005060075873626328
172,17.2,8.937600023029885e-05
173,17.3,0.00011723968652948287
174,17.4,0.0004129949338445464
175,17.5,0.0014450527403463411
176,17.6,0.0014450527403463411
177,17.7,0.0013593742520591953
178,17.8,0.00039099772743453754
179,17.9,0.0014450527403463353
180,18.0,0.0014249093803179239
