,t,p-value
0,0.0,1.0
1,0.1,0.318301174397817
2,0.2,0.08977634710634991
3,0.3,0.010052794921762146
4,0.4,1.6292317314132255e-05
5,0.5,2.8477780912735026e-06
6,0.6,6.758854533697067e-08
7,0.7,3.080145434034233e-05
8,0.8,0.0014450527403463411
9,0.9,0.00035145245009241596
10,1.0,3.17264993819781e-05
11,1.1,2.536079503754762e-06
12,1.2,5.27080753001663e-06
13,1.3,5.27080753001663e-06
14,1.4,1.6855677005302972e-06
15,1.5,3.2160086609266677e-07
16,1.6,4.3437788962677317e-07
17,1.7,3.0645397266900923e-07
18,1.8,1.1042135879559264e-06
19,1.9,1.8056157831828707e-06
20,2.0,8.265554266592067e-06
21,2.1,1.5019967574123448e-05
22,2.2,3.1466807839819887e-05
23,2.3,0.0002880723328288018
24,2.4,0.002257712395398383
25,2.5,0.057104710505478544
26,2.6,0.2522054261781342
27,2.7,0.24018807208835027
28,2.8,0.2924846894027537
29,2.9,0.3226173777890602
30,3.0,0.21618634396288985
31,3.1,0.025044237802001625
32,3.2,0.049405146906314805
33,3.3,0.5760358355986843
34,3.4,1.0
35,3.5,1.0
36,3.6,1.0
37,3.7,1.0
38,3.8,0.9965276684567952
39,3.9,0.6261377355937705
40,4.0,0.4693326186318083
41,4.1,0.8650739456241192
42,4.2,0.9803411456013718
43,4.3,0.9804980999618238
44,4.4,0.5496886536236796
45,4.5,0.9845618190086538
46,4.6,0.39511977108501606
47,4.7,0.32011853333369883
48,4.8,0.1408164393725128
49,4.9,0.3975094798343555
50,5.0,0.43360554470392065
51,5.1,0.43670676224889826
52,5.2,0.19580663907852178
53,5.3,0.10647592698058096
54,5.4,0.10580125019624713
55,5.5,0.10492493451834171
56,5.6,0.03618443165167422
57,5.7,0.031207273335253007
58,5.8,0.10321583053375752
59,5.9,0.10018640709047075
60,6.0,0.13464836378495226
61,6.1,0.09583046309252007
62,6.2,0.14344136105423197
63,6.3,0.3513178001097994
